material_id,formula,regime_calc,estrutura_esperada,is_pv_candidate,is_ibsc_candidate,is_pv_candidate_amp,is_ibsc_candidate_amp,energy_above_hull,is_stable,near_hull,is_gap_direct,ordering,band_gap,density,site_density,efermi,volume,nsites,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData avg_dev Row,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData maximum NfValence,MagpieData mean NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData maximum NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData mean NdUnfilled,MagpieData maximum NfUnfilled,MagpieData mean NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData mean GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,regime_GGA,regime_GGAU,regime_HSE06,gap_direto
mp-1112125,Cs2RbInCl6,GGA,perovskita dupla,False,False,False,False,0.003407339499999,False,True,True,NM,3.6668,3.070821476342491,0.0272429561148764,-1.02505091,367.0673607457504,10,17.0,55.0,38.0,29.8,15.360000000000003,17.0,4.0,94.0,65.3,36.379999999999995,94.0,171.6,429.75,237.49899999999997,79.07879999999999,171.6,1.0,17.0,11.8,6.480000000000001,17.0,3.0,6.0,3.0,1.2,244.0,142.0,146.2,53.879999999999995,3.16,2.37,2.314,1.0152,3.16,1.0,1.7,2.0,0.0,3.1,2.28,0.0,10.0,10.0,1.0,1.8,0.0,0.0,0.0,0.0,1.0,13.0,5.8,2.88,7.0,1.0,0.0,0.0,5.0,1.1,0.78,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.4,0.72,1.0,24.26,115.765,49.34974999999999,34.84065,0.0,2.493,1.4957999999999998,1.19664,2.493,0.0,0.0,64.0,229.0,165.0,121.0,68.4,64.0,1,0,0,1
mp-1112159,K2ScCuCl6,GGA,perovskita dupla,False,True,True,True,0.038786515333338,False,True,False,NM,1.877199999999999,2.595464797050145,0.0391327195578291,1.8805939,255.5406348700685,10,17.0,29.0,12.0,19.0,2.4,17.0,3.0,94.0,64.5,35.4,94.0,171.6,1814.0,487.44300000000004,439.3768,171.6,1.0,17.0,11.8,6.24,17.0,3.0,4.0,1.0,0.48,203.0,101.0,132.0,36.0,3.16,2.3400000000000003,2.386,0.9288000000000001,3.16,1.0,1.7,2.0,0.0,3.0,2.4,0.0,10.0,10.0,1.1,1.78,0.0,0.0,0.0,0.0,1.0,11.0,5.8,2.4799999999999995,7.0,1.0,0.0,0.0,1.0,0.6,0.4800000000000001,1.0,9.0,0.9,0.0,0.0,0.0,1.0,9.0,1.8,1.4400000000000002,1.0,11.07,73.1066666667,32.650333333339994,16.182533333343997,0.0,2.493,1.4957999999999998,1.19664,2.493,6.35e-06,6.350000000000001e-07,64.0,229.0,165.0,126.1,74.52000000000001,64.0,1,0,0,0
mp-1112229,K2LuCuCl6,GGA,perovskita dupla,False,True,False,True,0.001292203500002,False,True,False,NM,2.4709,3.266111578636457,0.0371514134722325,1.83427629,269.168762784063,10,17.0,71.0,54.0,24.0,10.4,17.0,3.0,94.0,67.5,31.8,94.0,171.6,1936.0,499.64300000000003,458.8968,171.6,1.0,17.0,11.8,6.24,17.0,3.0,6.0,3.0,0.72,203.0,101.0,133.7,38.379999999999995,3.16,2.3400000000000003,2.3770000000000002,0.9396000000000001,3.16,1.0,1.7,2.0,0.0,3.0,2.4,0.0,10.0,10.0,1.1,1.78,0.0,14.0,1.4,0.0,1.0,17.0,7.2,2.72,7.0,1.0,0.0,0.0,1.0,0.6,0.4800000000000001,1.0,9.0,0.9,0.0,0.0,0.0,1.0,9.0,1.8,1.4400000000000002,1.0,11.07,73.1066666667,33.31333333334,15.917333333343999,0.0,2.493,1.4957999999999998,1.19664,2.493,0.0022471,0.00022471,64.0,229.0,165.0,126.1,74.52000000000001,64.0,1,0,0,0
mp-1112288,Cs2YAgCl6,GGA,perovskita dupla,False,False,False,False,0.0,True,True,False,NM,3.8705,3.494069312940464,0.0311590185065699,-0.00897092,320.9343708272286,10,17.0,55.0,38.0,29.8,15.360000000000003,17.0,5.0,94.0,65.1,34.68,94.0,171.6,1799.0,466.67099999999994,420.1175999999999,171.6,1.0,17.0,11.8,6.24,17.0,3.0,6.0,3.0,1.2,244.0,142.0,143.5,49.8,3.16,2.37,2.369,0.9492,3.16,1.0,1.7,2.0,0.0,3.0,2.4,0.0,10.0,10.0,1.1,1.78,0.0,0.0,0.0,0.0,1.0,11.0,5.8,2.4799999999999995,7.0,1.0,0.0,0.0,1.0,0.6,0.4800000000000001,1.0,9.0,0.9,0.0,0.0,0.0,1.0,9.0,1.8,1.4400000000000002,1.0,16.33,115.765,42.72099999999999,29.217599999999994,0.0,2.493,1.4957999999999998,1.19664,2.493,0.0,0.0,64.0,229.0,165.0,126.1,74.52000000000001,64.0,1,0,0,0
mp-1112383,K2InCuCl6,GGA,perovskita dupla,False,False,False,False,0.022253926999999,False,True,False,NM,0.044499999999999,2.959569387135689,0.0379794506812739,1.85465303,263.3002800361875,10,17.0,49.0,32.0,21.8,6.880000000000001,17.0,3.0,94.0,70.9,28.54,94.0,171.6,1357.77,349.018,217.89679999999998,171.6,1.0,17.0,12.8,5.08,17.0,3.0,5.0,2.0,0.6,203.0,101.0,129.2,32.64,3.16,2.3400000000000003,2.428,0.8784000000000001,3.16,1.0,1.7,2.0,0.0,3.1,2.28,0.0,10.0,10.0,2.0,3.2,0.0,0.0,0.0,0.0,1.0,13.0,6.8,2.3200000000000003,7.0,1.0,0.0,0.0,5.0,1.1,0.78,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.4,0.72,1.0,11.07,73.1066666667,32.852833333339994,16.101533333343998,0.0,2.493,1.4957999999999998,1.19664,2.493,0.0,0.0,64.0,229.0,165.0,120.6,67.92,64.0,1,0,0,0
mp-1112412,Rb2TmCuCl6,GGA,perovskita dupla,False,True,False,True,0.032943498249999,False,True,False,NM,2.4353,3.682607247926253,0.0359940955333583,1.83016369,277.8233444074812,10,17.0,69.0,52.0,27.4,12.48,17.0,4.0,94.0,67.3,32.04,94.0,171.6,1818.0,483.029,441.9424,171.6,1.0,17.0,11.8,6.24,17.0,3.0,6.0,3.0,0.96,220.0,118.0,137.4,43.56,3.16,2.3400000000000003,2.375,0.9420000000000002,3.16,1.0,1.7,2.0,0.0,3.0,2.4,0.0,10.0,10.0,1.0,1.8,0.0,13.0,1.3,0.0,1.0,15.0,7.0,2.4,7.0,1.0,0.0,0.0,1.0,0.6,0.4800000000000001,1.0,0.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,11.07,90.7225,36.928,21.5178,0.0,2.493,1.4957999999999998,1.19664,2.493,0.0,0.0,64.0,229.0,165.0,126.1,74.52000000000001,64.0,1,0,0,0
mp-1112416,Rb2TbCuCl6,GGA,perovskita dupla,False,True,False,True,0.044782863109999,False,True,False,NM,2.5313,3.5366863561841333,0.0351386674781703,1.84462226,284.586773423108,10,17.0,65.0,48.0,27.0,12.0,17.0,4.0,94.0,66.5,33.0,94.0,171.6,1629.0,464.129,411.7024,171.6,1.0,17.0,11.8,6.24,17.0,3.0,6.0,3.0,0.96,220.0,118.0,137.8,44.120000000000005,3.16,2.3400000000000003,2.371,0.9468,3.16,1.0,1.7,2.0,0.0,3.0,2.4,0.0,10.0,10.0,1.0,1.8,0.0,9.0,0.9,0.0,1.0,11.0,6.6,2.24,7.0,1.0,0.0,0.0,1.0,0.6,0.4800000000000001,1.0,0.0,0.0,5.0,0.5,0.0,1.0,5.0,1.4,0.72,1.0,11.07,90.7225,37.12366666667,21.439533333332,0.0,2.493,1.4957999999999998,1.19664,2.493,0.0,0.0,64.0,229.0,165.0,126.1,74.52000000000001,64.0,1,0,0,0
mp-1112443,K2TmAgCl6,GGA,perovskita dupla,False,False,False,False,0.026220457649999,False,True,False,NM,3.6439,3.129883658036682,0.033200696166624,-0.24765729,301.19850348357403,10,17.0,69.0,52.0,25.6,12.960000000000003,17.0,3.0,94.0,67.2,32.160000000000004,94.0,171.6,1818.0,475.559,420.3624000000001,171.6,1.0,17.0,11.8,6.24,17.0,3.0,6.0,3.0,0.8400000000000001,203.0,101.0,135.3,39.96,3.16,2.3400000000000003,2.378,0.9384,3.16,1.0,1.7,2.0,0.0,3.0,2.4,0.0,10.0,10.0,1.0,1.8,0.0,13.0,1.3,0.0,1.0,15.0,7.0,2.4,7.0,1.0,0.0,0.0,1.0,0.6,0.4800000000000001,1.0,0.0,0.0,1.0,0.1,0.0,1.0,1.0,1.0,0.0,1.0,16.33,73.1066666667,33.930833333340004,15.670333333344,0.0,2.493,1.4957999999999998,1.19664,2.493,0.0,0.0,64.0,229.0,165.0,126.1,74.52000000000001,64.0,1,0,0,0
mp-1112446,K2TbAgCl6,GGA,perovskita dupla,False,False,False,False,0.043063298,False,True,False,NM,3.6214,2.99380007099504,0.0323270969611266,-0.24039924,309.33801485561764,10,17.0,65.0,48.0,25.2,12.319999999999999,17.0,3.0,94.0,66.4,33.12,94.0,171.6,1629.0,456.659,390.12239999999997,171.6,1.0,17.0,11.8,6.24,17.0,3.0,6.0,3.0,0.8400000000000001,203.0,101.0,135.7,40.44,3.16,2.3400000000000003,2.374,0.9432,3.16,1.0,1.7,2.0,0.0,3.0,2.4,0.0,10.0,10.0,1.0,1.8,0.0,9.0,0.9,0.0,1.0,11.0,6.6,2.24,7.0,1.0,0.0,0.0,1.0,0.6,0.4800000000000001,1.0,0.0,0.0,5.0,0.5,0.0,1.0,5.0,1.4,0.72,1.0,16.33,73.1066666667,34.12650000000999,15.592066666675994,0.0,2.493,1.4957999999999998,1.19664,2.493,0.0,0.0,64.0,229.0,165.0,126.1,74.52000000000001,64.0,1,0,0,0
mp-1112448,K2ScAgCl6,GGA,perovskita dupla,False,False,False,False,0.016061846333332,False,True,True,NM,3.248,2.595517854149833,0.0352247244729575,-0.08740263,283.89150375546967,10,17.0,47.0,30.0,20.8,5.28,17.0,3.0,94.0,64.6,35.36,94.0,171.6,1814.0,475.159,419.7224,171.6,1.0,17.0,11.8,6.24,17.0,3.0,5.0,2.0,0.6,203.0,101.0,133.3,37.56,3.16,2.3400000000000003,2.3890000000000002,0.9252,3.16,1.0,1.7,2.0,0.0,3.0,2.4,0.0,10.0,10.0,1.1,1.78,0.0,0.0,0.0,0.0,1.0,11.0,5.8,2.4799999999999995,7.0,1.0,0.0,0.0,1.0,0.6,0.4800000000000001,1.0,9.0,0.9,0.0,0.0,0.0,1.0,9.0,1.8,1.4400000000000002,1.0,16.33,73.1066666667,33.17633333334,15.972133333343999,0.0,2.493,1.4957999999999998,1.19664,2.493,6.35e-06,6.350000000000001e-07,64.0,229.0,165.0,126.1,74.52000000000001,64.0,1,0,0,1
