material_id,formula,regime_calc,estrutura_esperada,is_pv_candidate,is_ibsc_candidate,is_pv_candidate_amp,is_ibsc_candidate_amp,energy_above_hull,is_stable,near_hull,is_gap_direct,ordering,band_gap,density,site_density,efermi,volume,nsites,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData avg_dev Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData maximum NfValence,MagpieData mean NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData mean NdUnfilled,MagpieData maximum NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData maximum GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,regime_GGA,regime_GGAU,regime_HSE06,gap_direto
mp-1228935,AlIn(AgS2)2,GGA,kesterita,True,False,True,False,0.001991401249998,False,True,True,NM,1.0686,4.297734585710501,0.042621291084154,2.925157549999999,187.699616705752,8,13.0,49.0,36.0,27.5,15.125,16.0,65.0,88.0,78.75,88.0,388.36,1234.93,673.315,345.84625000000005,388.36,11.0,16.0,14.0,2.0,3.0,5.0,2.0,0.9375,105.0,145.0,40.0,121.625,16.78125,105.0,2.58,0.97,2.19625,0.38375000000000004,2.58,1.0,1.75,2.0,0.0,4.0,2.25,1.75,0.0,10.0,3.75,4.6875,0.0,0.0,3.0,13.0,10.0,7.75,2.9375,5.0,5.0,2.25,1.375,2.0,0.0,0.0,0.0,1.0,5.0,4.0,2.5,1.25,16.33,25.786875,22.0684375,4.266328124999999,25.786875,2.202,1.101,1.101,2.202,0.0,70.0,225.0,155.0,136.75,66.75,70.0,1,0,0,1
mp-1229077,AlIn(CuS2)2,GGA,kesterita,False,False,True,False,0.006313456249999,False,True,True,NM,0.7319999999999991,4.059538012329766,0.0492448991645807,4.89467143,162.45337356186482,8,13.0,49.0,36.0,23.0,9.5,16.0,64.0,88.0,78.5,88.0,388.36,1357.77,704.0250000000001,384.23375,388.36,11.0,16.0,14.0,2.0,3.0,5.0,2.0,0.625,105.0,142.0,37.0,118.375,13.375,105.0,2.58,0.97,2.1887499999999998,0.39125000000000004,2.58,1.0,1.75,2.0,0.0,4.0,2.25,1.75,0.0,10.0,3.75,4.6875,0.0,0.0,3.0,13.0,10.0,7.75,2.9375,5.0,5.0,2.25,1.375,2.0,0.0,0.0,0.0,1.0,5.0,4.0,2.5,1.25,11.07,25.786875,20.7534375,5.910078124999999,25.786875,2.202,1.101,1.101,2.202,0.0,70.0,225.0,155.0,136.75,66.75,70.0,1,0,0,1
mp-1228699,Al4InCuS8,GGA,relacionada,True,False,True,False,0.034750933392849,False,True,False,NM,1.1498,3.4100488404894262,0.0529653167671072,5.56364018,264.3239171316417,14,13.0,49.0,36.0,18.428571428571427,5.877551020408162,16.0,64.0,88.0,81.07142857142857,88.0,388.36,1357.77,616.3057142857142,287.1602040816326,388.36,11.0,16.0,14.571428571428571,1.6326530612244898,3.0,5.0,2.0,0.3673469387755103,105.0,142.0,37.0,114.14285714285714,10.448979591836734,105.0,2.58,0.97,2.197142857142857,0.4375510204081633,2.58,1.0,1.9285714285714286,2.0,0.0,4.0,2.642857142857143,1.5510204081632655,0.0,10.0,1.4285714285714286,2.4489795918367347,0.0,0.0,3.0,13.0,10.0,6.0,1.7142857142857142,5.0,5.0,2.9285714285714284,1.4795918367346939,2.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,1.4285714285714286,11.07,25.786875,21.967499999999998,4.6925,25.786875,2.202,1.2582857142857142,1.0785306122448979,2.202,0.0,70.0,225.0,155.0,130.28571428571428,68.89795918367346,70.0,1,0,0,0
mp-1228975,Al2Cr3CuS8,GGA,relacionada,False,False,False,False,0.0,True,True,False,FM,0.1357,3.548046548801847,0.0564388477303328,5.20893635,248.05609191194992,14,13.0,29.0,16.0,18.214285714285715,4.020408163265307,16.0,49.0,88.0,75.78571428571429,88.0,388.36,2180.0,919.3992857142857,606.9020408163266,388.36,6.0,16.0,13.071428571428571,3.3469387755102042,3.0,4.0,1.0,0.4081632653061224,105.0,139.0,34.0,116.5,13.142857142857142,105.0,2.58,0.97,2.1957142857142857,0.4391836734693878,2.58,1.0,1.7142857142857142,2.0,0.0,4.0,2.4285714285714284,1.795918367346939,0.0,10.0,1.7857142857142858,2.5510204081632653,0.0,0.0,3.0,11.0,8.0,5.928571428571429,0.8367346938775508,5.0,5.0,1.8571428571428572,1.0612244897959184,2.0,5.0,1.0714285714285714,0.0,1.0,6.0,5.0,3.2142857142857144,1.7040816326530612,11.07,25.786875,20.278214285714284,6.295612244897959,25.786875,2.202,1.2582857142857142,1.0785306122448979,2.202,0.0,70.0,229.0,159.0,137.28571428571428,76.89795918367346,70.0,1,0,0,0
mp-1246349,MgVCr3S8,GGA,relacionada,False,False,False,False,0.021296330500001,False,True,False,FM,0.480699999999999,3.289432672420325,0.0527975420332409,4.53078186,246.2235835110521,13,12.0,24.0,12.0,18.076923076923077,3.4911242603550297,16.0,46.0,88.0,74.23076923076923,88.0,388.36,2183.0,980.9907692307693,738.313372781065,388.36,2.0,16.0,11.76923076923077,5.207100591715976,3.0,4.0,1.0,0.4260355029585798,105.0,153.0,48.0,119.3076923076923,17.6094674556213,105.0,2.58,1.27,2.196923076923077,0.47147928994082844,2.58,1.0,1.7692307692307692,2.0,0.0,4.0,2.4615384615384617,1.893491124260355,0.0,5.0,1.3846153846153846,1.9171597633136095,0.0,0.0,2.0,6.0,4.0,5.615384615384615,0.6508875739644974,2.0,2.0,1.2307692307692308,0.9467455621301775,2.0,7.0,1.6923076923076923,0.0,0.0,7.0,7.0,3.1538461538461537,1.905325443786982,11.19,25.786875,21.212692307692308,5.887810650887573,25.786875,2.202,1.355076923076923,1.0423668639053254,2.202,0.0,70.0,229.0,159.0,128.46153846153845,71.95266272189349,70.0,1,0,0,0
mp-1215439,ZnGaPSe,GGA,relacionada,True,False,True,False,0.0306990025,False,True,True,NM,1.2159,4.587516661432909,0.0450926655083567,2.514194,88.70622206306925,4,15.0,34.0,19.0,27.5,6.25,15.0,69.0,89.0,78.75,69.0,302.91,692.68,451.72249999999997,141.61749999999998,302.91,12.0,16.0,14.0,1.5,3.0,4.0,1.0,0.375,107.0,122.0,15.0,117.75,5.375,107.0,2.55,0.8999999999999999,2.05,0.31999999999999995,1.65,2.0,2.0,2.0,0.0,4.0,2.0,1.5,0.0,10.0,7.5,3.75,0.0,0.0,5.0,16.0,11.0,11.5,3.25,5.0,5.0,2.5,1.5,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.5,1.5,13.96,25.92,20.326934523800002,3.9181845238,13.96,1.625,0.606,0.606,0.0,0.0,2.0,194.0,192.0,68.5,62.75,2.0,1,0,0,1
mp-1215445,ZnGaAsSe,GGA,relacionada,False,False,False,False,0.024598177500001,False,True,True,NM,0.5764,5.068686637454249,0.0422462394982507,2.17452631,94.6829835627292,4,30.0,34.0,4.0,32.0,1.5,30.0,69.0,89.0,79.0,69.0,302.91,1090.0,644.8975,246.4425,302.91,12.0,16.0,14.0,1.5,4.0,4.0,0.0,0.0,119.0,122.0,3.0,120.75,1.25,119.0,2.55,0.8999999999999999,2.0475000000000003,0.3175,1.65,2.0,2.0,2.0,0.0,4.0,2.0,1.5,10.0,10.0,10.0,0.0,0.0,0.0,12.0,16.0,4.0,14.0,1.5,5.0,5.0,2.5,1.5,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.5,1.5,13.96,25.92,20.228125000000002,3.819375,13.96,0.799,0.19975,0.29962500000000003,0.0,0.0,14.0,194.0,180.0,109.5,70.5,14.0,1,0,0,1
mp-1216358,VCu3Te3Se,GGA,relacionada,False,False,False,False,0.002574992812501,False,True,False,NM,0.503599999999999,5.915042935210463,0.0405166735775151,4.5519028,197.4495755357277,8,23.0,52.0,29.0,37.5,10.875,29.0,46.0,90.0,74.625,64.0,494.0,2183.0,1114.7862499999999,449.29125,722.66,5.0,16.0,12.75,3.25,4.0,5.0,1.0,0.46875,120.0,153.0,33.0,135.375,6.375,132.0,2.55,0.9199999999999999,2.0225,0.19000000000000006,1.9,1.0,1.625,1.0,0.0,4.0,2.0,2.0,3.0,10.0,9.125,1.53125,0.0,0.0,5.0,16.0,11.0,12.75,3.25,2.0,2.0,1.0,1.0,0.0,7.0,0.875,0.0,1.0,7.0,6.0,2.25,1.1875,11.07,34.7633333333,22.053749999987502,10.4987499999875,11.07,0.799,0.27387500000000004,0.27387500000000004,0.0,0.0,14.0,229.0,215.0,171.75,54.25,152.0,1,0,0,0
mp-1218892,SnTePbSe,GGA,relacionada,False,False,False,False,0.013198344999999,False,True,False,NM,0.2205,6.980572598268687,0.0315796125879019,5.44229912,126.66399845362211,4,34.0,82.0,48.0,54.5,13.75,34.0,80.0,90.0,85.0,80.0,494.0,722.66,580.5875,81.0475,494.0,14.0,16.0,15.0,1.0,4.0,6.0,2.0,0.5,120.0,146.0,26.0,135.75,7.875,120.0,2.55,0.5899999999999999,2.2350000000000003,0.20499999999999996,1.96,2.0,2.0,2.0,2.0,2.0,3.0,1.0,10.0,10.0,10.0,0.0,14.0,3.5,14.0,28.0,14.0,18.5,4.75,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,25.92,34.7633333333,30.519583333325,3.504583333324998,25.92,0.799,0.31575000000000003,0.31575000000000003,0.0,0.0,14.0,225.0,211.0,133.0,59.5,14.0,1,0,0,0
mp-1218953,SnGe4Te4Se,GGA,relacionada,False,False,False,False,0.0,True,True,False,NM,0.6132999999999991,5.915816949317668,0.0356747568083237,5.43366062,280.3102500103596,10,32.0,52.0,20.0,42.0,9.6,32.0,79.0,90.0,84.5,79.0,494.0,1211.4,873.5319999999999,270.29440000000005,722.66,14.0,16.0,15.0,1.0,4.0,5.0,1.0,0.5,120.0,139.0,19.0,129.1,9.1,120.0,2.55,0.5899999999999999,2.0949999999999998,0.09500000000000011,2.01,2.0,2.0,2.0,2.0,2.0,3.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,14.0,16.0,2.0,15.0,1.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,1.0,23.005,34.7633333333,29.02783333332,5.439833333319998,23.005,0.799,0.4187,0.11230000000000002,0.383,0.0,14.0,225.0,211.0,166.3,46.96,152.0,1,0,0,0
