feature,feature_abrev,mean_abs_shap,shap_positivo
MagpieData maximum GSmagmom,maximum GSmagmom,0.0006951828080867432,0.20238095238095238
MagpieData maximum MendeleevNumber,maximum MendeleevNumber,0.0006127216638330351,0.31493506493506496
regime_GGAU,regime_GGAU,0.0005201017847490855,0.21212121212121213
MagpieData maximum Row,maximum Row,0.00046302154532336083,0.3398268398268398
regime_GGA,regime_GGA,0.00042867771880940173,0.22943722943722944
MagpieData mode Column,mode Column,0.0003569584990368754,0.23160173160173161
MagpieData mode NdValence,mode NdValence,0.0002749561077553953,0.24675324675324675
MagpieData mode NpUnfilled,mode NpUnfilled,0.0001966407824112162,0.3225108225108225
MagpieData mode NUnfilled,mode NUnfilled,0.00017136957131635609,0.5162337662337663
MagpieData minimum NUnfilled,minimum NUnfilled,0.00013982744617644415,0.11904761904761904
MagpieData mode NsUnfilled,mode NsUnfilled,9.906298017469076e-05,0.027056277056277056
MagpieData minimum NpValence,minimum NpValence,7.508691367670335e-05,0.9675324675324676
MagpieData mode NsValence,mode NsValence,6.646117044115908e-05,0.9361471861471862
MagpieData minimum NpUnfilled,minimum NpUnfilled,3.916509621331368e-05,0.09523809523809523
regime_HSE06,regime_HSE06,2.259485081399018e-06,0.016233766233766232
MagpieData maximum Column,maximum Column,0.0,0.0
MagpieData minimum NdValence,minimum NdValence,0.0,0.0
MagpieData mode NfValence,mode NfValence,0.0,0.0
MagpieData minimum GSbandgap,minimum GSbandgap,0.0,0.0
MagpieData mode NfUnfilled,mode NfUnfilled,0.0,0.0
