material_id,formula,band_gap,is_gap_direct,is_pv_candidate,is_pv_candidate_amp,is_ibsc_candidate,is_ibsc_candidate_amp,energy_above_hull,formation_energy_per_atom,crystal_system,spacegroup_symbol,spacegroup_number,estrutura_esperada,regime_calc,density,efermi,theoretical,has_experimental_ref,possible_species,familia
mp-1111950,K2AgRhF6,1.4182000000000001,False,True,True,False,True,0.0,-2.246720276616666,Cubic,Fm-3m,225,perovskita dupla,GGA,3.988046326716506,0.0471862,True,False,"['Rh3+', 'K+', 'Ag+', 'F-']",Perovskita Dupla
mp-1111979,Cs2NaRhF6,1.9082000000000001,True,False,True,True,True,0.0,-2.620182286068965,Cubic,Fm-3m,225,perovskita dupla,GGA,4.774545738899108,0.67669327,True,False,"['Rh3+', 'Na+', 'Cs+', 'F-']",Perovskita Dupla
mp-1112284,K2GaAgF6,2.243,False,False,False,True,True,0.0,-2.684092103366666,Cubic,Fm-3m,225,perovskita dupla,GGA,3.750487051014523,-0.44684764,True,False,"['K+', 'Ga3+', 'Ag+', 'F-']",Perovskita Dupla
mp-1112340,Cs2TlRhF6,1.9056000000000002,False,False,True,True,True,0.0,-2.422730792264368,Cubic,Fm-3m,225,perovskita dupla,GGA,5.495983358197139,1.22990666,True,False,"['Rh3+', 'F-', 'Cs+', 'Tl+']",Perovskita Dupla
mp-1113226,Cs2AgMoF6,2.7943000000000002,True,False,False,False,True,0.0,-2.602620705097701,Cubic,Fm-3m,225,perovskita dupla,GGA+U,5.013218747467758,3.32408558,True,False,"['F-', 'Ag+', 'Cs+', 'Mo3+']",Perovskita Dupla
mp-1113583,Cs2GaAgF6,2.7308,False,False,False,False,True,0.0,-2.688667714847702,Cubic,Fm-3m,225,perovskita dupla,GGA,5.140723875863037,-0.32040701,True,False,"['F-', 'Ga3+', 'Ag+', 'Cs+']",Perovskita Dupla
mp-1113588,Cs2InAgF6,2.1888,False,False,False,True,True,0.0,-2.6328010377643682,Cubic,Fm-3m,225,perovskita dupla,GGA,5.056538959944953,0.34243885,True,False,"['F-', 'Ag+', 'Cs+', 'In3+']",Perovskita Dupla
mp-1113675,Rb2NaIrF6,2.3345000000000002,True,False,False,True,True,0.0,-2.5513636096379297,Cubic,Fm-3m,225,perovskita dupla,GGA,5.052558347325151,1.02631873,True,False,"['Na+', 'Rb+', 'Ir3+', 'F-']",Perovskita Dupla
mp-1113707,Rb2LiRhF6,1.7225000000000001,True,True,True,False,True,0.0,-2.645169458833333,Cubic,Fm-3m,225,perovskita dupla,GGA,4.435978206236426,0.12166667,True,False,"['Rh3+', 'F-', 'Rb+', 'Li+']",Perovskita Dupla
mp-1113736,Rb2LiCoF6,2.8411,True,False,False,False,True,0.0,-2.7184617018333332,Cubic,Fm-3m,225,perovskita dupla,GGA,4.167599044279583,1.24836996,True,False,"['F-', 'Rb+', 'Co3+', 'Li+']",Perovskita Dupla
