material_id,formula,band_gap,is_gap_direct,energy_above_hull,formation_energy_per_atom,crystal_system,spacegroup_symbol,spacegroup_number,estrutura_esperada,regime_calc,density,efermi,theoretical,has_experimental_ref,possible_species,familia
mp-1225934,CsMnVF6,1.8989,True,0.0,-3.147013363065135,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.949690817818301,0.37195259,True,False,"['Mn2+', 'F-', 'Cs+', 'V3+']",Perovskita Dupla
mp-1225938,CsMgCoF6,1.9747,False,0.0,-2.918185277183909,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.845830728697557,0.23454529,True,False,"['Mg2+', 'Co3+', 'Cs+', 'F-']",Perovskita Dupla
mp-1225975,CsCrCoF6,2.2148,False,0.0,-2.870498638295019,Orthorhombic,Imma,74,perovskita dupla,GGA+U,4.02183527801048,-0.11087647,True,False,"['F-', 'Cr3+', 'Cs+', 'Co2+']",Perovskita Dupla
mp-1226043,CsFeCoF6,1.828,False,0.0,-2.679922508850574,Orthorhombic,Imma,74,perovskita dupla,GGA+U,4.081345335684319,-0.10787717,True,False,"['Fe3+', 'Cs+', 'F-', 'Co2+']",Perovskita Dupla
mp-1228886,CsVFeF6,1.814,True,0.0,-3.014621490517241,Orthorhombic,Imma,74,perovskita dupla,GGA+U,3.865639989012002,0.40015783,True,False,"['V3+', 'F-', 'Fe2+', 'Cs+']",Perovskita Dupla
mp-1228899,CsVNiF6,2.3655,False,0.0,-2.936362066072798,Orthorhombic,Imma,74,perovskita dupla,GGA+U,4.060309672391199,0.389465499999999,True,False,"['V3+', 'F-', 'Cs+', 'Ni2+']",Perovskita Dupla
mp-24015,Cd2H3ClO3,2.0958,True,0.0,-1.372690263194443,Orthorhombic,Pnma,62,perovskita dupla,GGA,3.912323149584525,-0.82131133,False,True,"['Cd2+', 'O2-', 'H+', 'Cl-']",Perovskita Dupla
mp-558871,SrVClO3,2.189,True,0.0,-2.737379994583333,Orthorhombic,Pnma,62,perovskita dupla,GGA+U,3.807880277654851,1.09243122,False,True,"['V5+', 'Sr2+', 'Cl-', 'O2-']",Perovskita Dupla
mp-559481,BaVClO3,2.3925,False,0.0,-2.770726779166666,Orthorhombic,Pnma,62,perovskita dupla,GGA+U,4.19804351608967,0.61100446,False,True,"['V5+', 'Cl-', 'O2-', 'Ba2+']",Perovskita Dupla
mp-1202505,Cs2Re(ClO)3,2.3472,False,0.0,-2.069291566312261,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.025002053422486,-0.68162615,False,True,"['Re7+', 'O2-', 'Cs+', 'Cl-']",Perovskita Dupla
mp-1078258,Cs2AgBiCl6,1.8663,False,0.0,-1.510083130500001,Cubic,Fm-3m,225,perovskita dupla,GGA,4.185373900842128,0.91825946,False,True,"['Ag+', 'Cs+', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-1110810,Rb2AgBiCl6,2.06,False,0.0,-1.665001007666667,Cubic,Fm-3m,225,perovskita dupla,GGA,3.762125681987928,0.51340429,True,False,"['Rb+', 'Ag+', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-1110920,K2AgBiCl6,2.0583,False,0.0,-1.6220751856166662,Cubic,Fm-3m,225,perovskita dupla,GGA,3.176633353516061,0.49212144,True,False,"['K+', 'Ag+', 'Cl-', 'Bi3+']",Perovskita Dupla
mp-1112527,Cs2NaTlCl6,1.9178,True,0.0,-1.8345188524023,Cubic,Fm-3m,225,perovskita dupla,GGA,3.640205022554829,-0.61141004,True,False,"['Na+', 'Tl3+', 'Cs+', 'Cl-']",Perovskita Dupla
mp-1114002,Rb2TlSbCl6,1.955099999999999,True,0.0,-1.699869768833334,Cubic,Fm-3m,225,perovskita dupla,GGA,3.190531909922415,0.95149317,True,False,"['Rb+', 'Cl-', 'Sb3+', 'Tl+']",Perovskita Dupla
mp-23763,SnH8(NCl3)2,2.3281,True,0.0,-0.984600160882353,Cubic,Fm-3m,225,perovskita dupla,GGA,2.449067317795603,-0.08985767,False,True,"['N3-', 'H+', 'Sn4+', 'Cl-']",Perovskita Dupla
mp-989550,Rb2TlInCl6,2.3962,False,0.0,-1.8027955545,Cubic,Fm-3m,225,perovskita dupla,GGA,3.343130416934309,0.13009956,True,False,"['Cl-', 'Rb+', 'In3+', 'Tl+']",Perovskita Dupla
mp-1202647,La2SbS5Br,1.8640999999999992,False,0.0,-1.738829275833333,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.740424580919051,5.05222471,False,True,"['Br-', 'S2-', 'Sb3+', 'La3+', 'S-']",Perovskita Dupla
mp-567433,BP(IBr)3,1.9673,True,0.0,-0.66051848110119,Orthorhombic,Pnma,62,perovskita dupla,GGA,3.374071476394194,0.57944943,False,True,"['Br-', 'I-', 'B3+', 'P3+']",Perovskita Dupla
mp-1110566,Cs2NaAsBr6,2.559,False,0.0,-1.5512136298189652,Cubic,Fm-3m,225,perovskita dupla,GGA,3.88214034721374,-0.42281781,True,False,"['Br-', 'Na+', 'Cs+', 'As3+']",Perovskita Dupla
mp-1113046,Cs2KInBr6,2.3584,True,0.0,-1.7453492563227,Cubic,Fm-3m,225,perovskita dupla,GGA,3.66043062327514,-0.82756999,True,False,"['Br-', 'K+', 'Cs+', 'In3+']",Perovskita Dupla
mp-996943,Cs2NaInBr6,1.8935,True,0.0,-1.716573456735632,Cubic,Fm-3m,225,perovskita dupla,GGA,4.004339376709322,-0.306342,True,False,"['Br-', 'Na+', 'Cs+', 'In3+']",Perovskita Dupla
mp-996944,Cs2TlInBr6,1.8255,False,0.0,-1.577039565931035,Cubic,Fm-3m,225,perovskita dupla,GGA,4.301130798573819,0.05294794,True,False,"['Br-', 'Cs+', 'In3+', 'Tl+']",Perovskita Dupla
mp-1091394,Ba2NaIO6,2.2417,True,0.0,-2.207977574637931,Cubic,Fm-3m,225,perovskita dupla,GGA,5.697991667878675,2.80780736,False,True,"['Na+', 'O2-', 'I7+', 'Ba2+']",Perovskita Dupla
mp-557250,HgINO3,1.9661,True,0.0,-0.7511069195833351,Orthorhombic,Pnma,62,perovskita dupla,GGA,4.776762654018852,-0.32414168,False,True,"['Hg2+', 'I-', 'O2-', 'N5+']",Perovskita Dupla
mp-669364,Cs3Re3(SI)4,2.4339,False,0.0,-1.236948106533252,Cubic,Fm-3m,225,perovskita dupla,GGA,4.986353013969094,1.260400269999999,False,True,"['Re3+', 'I-', 'Cs+', 'S2-']",Perovskita Dupla
mp-1112117,Cs2RbScI6,2.3929,False,0.0,-1.633877158181035,Cubic,Fm-3m,225,perovskita dupla,GGA,3.685189216268148,0.24122835,True,False,"['I-', 'Rb+', 'Cs+', 'Sc3+']",Perovskita Dupla
